TAIR_OBJECT_ID	NAME
2008647	AT1G35480.1
2008652	AT1G35430.1
2008657	AT1G35420.1
2008662	AT1G35410.1
2008677	AT1G35400.1
2008682	AT1G35470.1
2008687	AT1G35380.1
2008692	AT1G35460.1
2008697	AT1G35440.1
2008797	AT1G67550.1
2008807	AT1G67560.1
2008812	AT1G67530.1
2008822	AT1G67540.1
2008827	AT1G67570.1
2008839	AT1G12060.1
2008844	AT1G12050.1
2008849	AT1G11970.1
2008859	AT1G11960.1
2008864	AT1G11870.1
2008869	AT1G12030.1
2008874	AT1G11950.1
2008884	AT1G12020.1
2008889	AT1G11940.1
2008894	AT1G12040.1
2008899	AT1G11860.1
2008904	AT1G12010.1
2008909	AT1G11930.1
2008914	AT1G11850.1
2008919	AT1G12000.1
2008924	AT1G11920.1
2008929	AT1G11840.1
2008934	AT1G11990.1
2008939	AT1G11910.1
2008949	AT1G11980.1
2008954	AT1G11900.1
2008959	AT1G11890.1
2008964	AT1G12070.1
2008969	AT1G11880.1
2008985	AT1G34090.1
2008990	AT1G34170.1
2008995	AT1G34000.1
2009000	AT1G34080.1
2009005	AT1G34160.1
2009010	AT1G33990.1
2009015	AT1G34070.1
2009020	AT1G34150.1
2009025	AT1G33980.1
2009030	AT1G34060.1
2009035	AT1G34140.1
2009040	AT1G33970.1
2009045	AT1G34050.1
2009050	AT1G34130.1
2009055	AT1G34040.1
2009060	AT1G34120.1
2009065	AT1G34030.1
2009070	AT1G34110.1
2009075	AT1G34020.1
2009080	AT1G34010.1
2009090	AT1G34100.1
2009114	AT1G06700.1
2009124	AT1G06630.1
2009129	AT1G06620.1
2009134	AT1G06510.1
2009144	AT1G06500.1
2009149	AT1G06590.1
2009154	AT1G06580.1
2009159	AT1G06570.1
2009164	AT1G06660.1
2009169	AT1G06560.1
2009174	AT1G06650.1
2009179	AT1G06550.1
2009184	AT1G06490.1
2009189	AT1G06470.1
2009194	AT1G06540.1
2009199	AT1G06670.1
2009204	AT1G06460.1
2009209	AT1G06640.1
2009214	AT1G06530.1
2009219	AT1G06450.1
2009224	AT1G06520.1
2009229	AT1G06440.1
2009242	AT1G34560.1
2009252	AT1G34550.1
2009267	AT1G34620.1
2009277	AT1G34540.1
2009292	AT1G34530.1
2009302	AT1G34520.1
2009307	AT1G34590.1
2009317	AT1G34510.1
2009322	AT1G34580.1
2009327	AT1G34500.1
2009332	AT1G34570.1
2009337	AT1G34490.1
2009389	AT1G57780.1
2009404	AT1G57850.1
2009409	AT1G57860.1
2009414	AT1G57830.1
2009419	AT1G57820.1
2009424	AT1G57800.1
2009429	AT1G57790.1
2009441	AT1G22520.1
2009451	AT1G22640.1
2009456	AT1G22590.1
2009461	AT1G22470.1
2009466	AT1G22460.1
2009471	AT1G22550.1
2009486	AT1G22540.1
2009491	AT1G22610.1
2009496	AT1G22450.1
2009501	AT1G22530.1
2009506	AT1G22600.1
2009511	AT1G22440.1
2009516	AT1G22510.1
2009521	AT1G22430.1
2009526	AT1G22500.1
2009531	AT1G22420.1
2009536	AT1G22490.1
2009541	AT1G22570.1
2009546	AT1G22410.1
2009551	AT1G22480.1
2009556	AT1G22400.1
2009564	AT1G53180.1
2009569	AT1G53200.1
2009574	AT1G53350.1
2009579	AT1G53210.1
2009584	AT1G53370.1
2009589	AT1G53300.1
2009594	AT1G53230.1
2009599	AT1G53310.1
2009604	AT1G53240.1
2009609	AT1G53320.1
2009614	AT1G53250.1
2009619	AT1G53330.1
2009624	AT1G53260.1
2009634	AT1G53340.1
2009639	AT1G53270.1
2009644	AT1G53360.1
2009649	AT1G53280.1
2009659	AT1G53190.1
2009664	AT1G53290.1
2009669	AT1G53380.1
2009679	AT1G53390.1
2009684	AT1G53400.1
2009703	AT1G65960.1
2009708	AT1G65970.1
2009713	AT1G65890.1
2009718	AT1G65980.1
2009723	AT1G65900.1
2009728	AT1G65910.1
2009733	AT1G65990.1
2009738	AT1G65920.1
2009743	AT1G65850.1
2009748	AT1G65940.1
2009753	AT1G65860.1
2009758	AT1G65930.1
2009763	AT1G65950.1
2009768	AT1G65870.1
2009773	AT1G65880.1
2009781	AT1G30260.1
2009786	AT1G30290.1
2009791	AT1G30240.1
2009796	AT1G30210.1
2009801	AT1G30250.1
2009806	AT1G30230.1
2009811	AT1G30270.1
2009816	AT1G30280.1
2009826	AT1G30300.1
2009831	AT1G30220.1
2009858	AT1G42960.1
2009863	AT1G42970.1
2009868	AT1G42980.1
2009873	AT1G42990.1
2009946	AT1G13560.1
2009956	AT1G13490.1
2009961	AT1G13550.1
2009971	AT1G13500.1
2009976	AT1G13540.1
2009986	AT1G13510.1
2009996	AT1G13630.1
2010001	AT1G13520.1
2010016	AT1G13530.1
2010021	AT1G13580.1
2010031	AT1G13570.1
2010156	AT1G49450.1
2010161	AT1G49310.1
2010166	AT1G49370.1
2010171	AT1G49360.1
2010176	AT1G49430.1
2010186	AT1G49350.1
2010191	AT1G49420.1
2010196	AT1G49520.1
2010201	AT1G49340.1
2010206	AT1G49250.1
2010211	AT1G49410.1
2010216	AT1G49330.1
2010226	AT1G49400.1
2010231	AT1G49500.1
2010236	AT1G49320.1
2010241	AT1G49390.1
2010246	AT1G49490.1
2010251	AT1G49470.1
2010256	AT1G49300.1
2010261	AT1G49480.1
2010266	AT1G49380.1
2010276	AT1G49290.1
2010281	AT1G49270.1
2010286	AT1G49260.1
2010291	AT1G49510.1
2010296	AT1G49560.1
2010310	AT1G12860.1
2010315	AT1G12870.1
2010320	AT1G12790.1
2010325	AT1G12970.1
2010330	AT1G12880.1
2010335	AT1G12800.1
2010340	AT1G12920.1
2010345	AT1G12890.1
2010350	AT1G12810.1
2010355	AT1G12910.1
2010360	AT1G12900.1
2010365	AT1G12820.1
2010370	AT1G12780.1
2010375	AT1G12830.1
2010380	AT1G12930.1
2010385	AT1G12840.1
2010390	AT1G12940.1
